,0
Battery_Voltage,0.23723721161844466
Voltage_Drop,0.21359727878286183
Engine_Temperature,0.12260439385837525
Vibration,0.1110928456512097
Vibration_Severity,0.10834381176111543
Battery_Weak_Flag,0.09393873005957204
Overheating_Flag,0.028842850039010562
High_Vibration_Flag,0.025182727098991914
Temp_Deviation,0.013468756087041433
Load_Temp_Interaction,0.010842586441980684
Wear_Index,0.006181625513451133
Vehicle_Age_Years,0.006011374481701638
RPM,0.0059212325622147064
Engine_Load,0.005757707867775722
Oil_Quality_Index,0.005629053239299795
Mileage_km,0.005313407816504937
Oil_Degraded,3.4407120448657034e-05
